card84_correct,card84_failure_mode,card84_nfe,card84_tokens_changed,card84_vs_dnb64,card84_vs_dnb84,card84_vs_rand84,dataset,difficulty_bucket,dnb64_correct,dnb64_failure_mode,dnb64_nfe,dnb64_tokens_changed,dnb84_correct,dnb84_failure_mode,dnb84_nfe,dnb84_tokens_changed,dnb84_vs_dnb64,prompt_length,rand84_correct,rand84_failure_mode,rand84_nfe,rand84_tokens_changed,rand84_vs_dnb64,sample_id,selection_reason
0,,68,6,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,82,0,,67,0,unchanged_wrong,gsm8k_test_0303,top_entropy_prescan
0,,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,54,0,,67,0,unchanged_wrong,gsm8k_test_0314,balanced_mid_low_prescan
1,,68,2,unchanged_correct,fixed,unchanged_correct,gsm8k,mid_entropy,1,,64,0,0,,83,0,harmed,43,1,,67,0,unchanged_correct,gsm8k_test_1141,balanced_mid_low_prescan
0,,68,8,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,67,0,,67,1,unchanged_wrong,gsm8k_test_0706,balanced_mid_low_prescan
0,,68,3,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,60,0,,67,0,unchanged_wrong,gsm8k_test_1005,balanced_mid_low_prescan
0,,68,0,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,41,0,,67,0,unchanged_wrong,gsm8k_test_0259,balanced_mid_low_prescan
0,,68,3,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,35,0,,67,0,unchanged_wrong,gsm8k_test_0989,balanced_mid_low_prescan
0,,68,0,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,78,0,,67,0,unchanged_wrong,gsm8k_test_1261,balanced_mid_low_prescan
0,,68,12,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,32,0,,67,2,unchanged_wrong,gsm8k_test_0599,balanced_mid_low_prescan
0,,68,4,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,95,0,,67,0,unchanged_wrong,gsm8k_test_0100,balanced_mid_low_prescan
0,,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,74,0,,67,0,unchanged_wrong,gsm8k_test_0923,balanced_mid_low_prescan
0,,68,5,unchanged_wrong,harmed,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,1,,83,0,fixed,66,0,,67,1,unchanged_wrong,gsm8k_test_1115,balanced_mid_low_prescan
0,,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,mid_entropy,0,,64,0,0,,83,0,unchanged_wrong,84,0,,67,1,unchanged_wrong,gsm8k_test_0868,balanced_mid_low_prescan
1,,68,4,unchanged_correct,unchanged_correct,unchanged_correct,gsm8k,low_entropy,1,,64,0,1,,83,0,unchanged_correct,39,1,,67,2,unchanged_correct,gsm8k_test_0238,balanced_mid_low_prescan
0,,68,4,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,low_entropy,0,,64,0,0,,83,0,unchanged_wrong,35,0,,67,1,unchanged_wrong,gsm8k_test_1241,balanced_mid_low_prescan
0,,68,0,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,low_entropy,0,,64,0,0,,83,0,unchanged_wrong,46,0,,67,0,unchanged_wrong,gsm8k_test_0021,balanced_mid_low_prescan
0,,68,4,unchanged_wrong,harmed,unchanged_wrong,gsm8k,low_entropy,0,,64,0,1,,83,0,fixed,66,0,,67,1,unchanged_wrong,gsm8k_test_0586,balanced_mid_low_prescan
0,,68,2,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,low_entropy,0,,64,0,0,,83,0,unchanged_wrong,93,0,,67,0,unchanged_wrong,gsm8k_test_0177,balanced_mid_low_prescan
1,,68,3,unchanged_correct,unchanged_correct,unchanged_correct,gsm8k,low_entropy,1,,64,0,1,,83,0,unchanged_correct,45,1,,67,1,unchanged_correct,gsm8k_test_0237,balanced_mid_low_prescan
1,,68,1,unchanged_correct,fixed,unchanged_correct,gsm8k,low_entropy,1,,64,0,0,,83,0,harmed,85,1,,67,0,unchanged_correct,gsm8k_test_0371,balanced_mid_low_prescan
0,,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,low_entropy,0,,64,0,0,,83,0,unchanged_wrong,58,0,,67,0,unchanged_wrong,gsm8k_test_1089,balanced_mid_low_prescan
1,,68,1,unchanged_correct,unchanged_correct,unchanged_correct,gsm8k,low_entropy,1,,64,0,1,,83,0,unchanged_correct,46,1,,67,0,unchanged_correct,gsm8k_test_1252,balanced_mid_low_prescan
0,,68,3,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,low_entropy,0,,64,0,0,,83,0,unchanged_wrong,41,0,,67,0,unchanged_wrong,gsm8k_test_0687,balanced_mid_low_prescan
1,,68,2,unchanged_correct,unchanged_correct,unchanged_correct,gsm8k,low_entropy,1,,64,0,1,,83,0,unchanged_correct,54,1,,67,0,unchanged_correct,gsm8k_test_0756,balanced_mid_low_prescan
1,,68,1,unchanged_correct,fixed,unchanged_correct,gsm8k,low_entropy,1,,64,0,0,,83,0,harmed,40,1,,67,0,unchanged_correct,gsm8k_test_0347,balanced_mid_low_prescan
1,,68,6,unchanged_correct,unchanged_correct,unchanged_correct,gsm8k,low_entropy,1,,64,0,1,,83,0,unchanged_correct,77,1,,67,1,unchanged_correct,gsm8k_test_0772,balanced_mid_low_prescan
0,IndentationError,68,7,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,15,0,IndentationError,67,4,unchanged_wrong,mbpp_test_0175,top_entropy_prescan
1,passed,68,8,unchanged_correct,fixed,unchanged_correct,mbpp,high_entropy,1,passed,64,0,0,NameError,84,0,harmed,13,1,passed,67,0,unchanged_correct,mbpp_test_0130,top_entropy_prescan
0,NameError,68,19,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,15,0,NameError,67,1,unchanged_wrong,mbpp_test_0116,top_entropy_prescan
0,SyntaxError,68,11,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,24,0,NameError,67,1,unchanged_wrong,mbpp_test_0218,top_entropy_prescan
0,TypeError,68,12,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,TypeError,64,0,0,SyntaxError,84,0,unchanged_wrong,16,0,TypeError,67,3,unchanged_wrong,mbpp_test_0388,top_entropy_prescan
0,NameError,68,25,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,15,0,SyntaxError,67,4,unchanged_wrong,mbpp_test_0103,top_entropy_prescan
0,NameError,68,0,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,12,0,NameError,67,0,unchanged_wrong,mbpp_test_0074,top_entropy_prescan
0,SyntaxError,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,14,0,SyntaxError,67,2,unchanged_wrong,mbpp_test_0235,top_entropy_prescan
0,NameError,68,19,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,17,0,NameError,67,1,unchanged_wrong,mbpp_test_0145,top_entropy_prescan
0,NameError,68,14,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,SyntaxError,84,0,unchanged_wrong,15,0,NameError,67,0,unchanged_wrong,mbpp_test_0271,top_entropy_prescan
0,NameError,68,6,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,15,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0040,top_entropy_prescan
0,NameError,68,12,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,14,0,NameError,67,1,unchanged_wrong,mbpp_test_0094,top_entropy_prescan
0,NameError,68,14,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,11,0,SyntaxError,67,0,unchanged_wrong,mbpp_test_0030,top_entropy_prescan
0,NameError,68,8,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,18,0,NameError,67,2,unchanged_wrong,mbpp_test_0291,top_entropy_prescan
0,NameError,68,22,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,17,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0062,top_entropy_prescan
0,SyntaxError,68,30,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,15,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0126,top_entropy_prescan
0,NameError,68,11,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,IndentationError,64,0,0,SyntaxError,84,0,unchanged_wrong,11,0,IndentationError,67,0,unchanged_wrong,mbpp_test_0281,top_entropy_prescan
0,SyntaxError,68,28,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,18,0,SyntaxError,67,0,unchanged_wrong,mbpp_test_0326,top_entropy_prescan
0,AssertionError,68,12,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,AssertionError,64,0,0,AssertionError,84,0,unchanged_wrong,10,0,AssertionError,67,1,unchanged_wrong,mbpp_test_0070,top_entropy_prescan
0,NameError,68,33,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,12,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0101,top_entropy_prescan
0,SyntaxError,68,9,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,18,0,SyntaxError,67,3,unchanged_wrong,mbpp_test_0400,top_entropy_prescan
0,SyntaxError,68,8,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,14,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0449,top_entropy_prescan
0,NameError,68,5,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,12,0,NameError,67,0,unchanged_wrong,mbpp_test_0182,top_entropy_prescan
0,NameError,68,7,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,20,0,NameError,67,0,unchanged_wrong,mbpp_test_0476,top_entropy_prescan
0,NameError,68,16,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,high_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,13,0,NameError,67,0,unchanged_wrong,mbpp_test_0456,top_entropy_prescan
0,SyntaxError,68,30,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,21,0,SyntaxError,67,2,unchanged_wrong,mbpp_test_0497,balanced_mid_low_prescan
0,IndentationError,68,12,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,18,0,SyntaxError,67,3,unchanged_wrong,mbpp_test_0323,balanced_mid_low_prescan
0,SyntaxError,68,21,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,17,0,SyntaxError,67,0,unchanged_wrong,mbpp_test_0171,balanced_mid_low_prescan
0,NameError,68,10,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,17,0,NameError,67,0,unchanged_wrong,mbpp_test_0322,balanced_mid_low_prescan
0,NameError,68,17,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,NameError,64,0,0,SyntaxError,84,0,unchanged_wrong,12,0,NameError,67,0,unchanged_wrong,mbpp_test_0298,balanced_mid_low_prescan
0,NameError,68,34,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,15,0,NameError,67,1,unchanged_wrong,mbpp_test_0195,balanced_mid_low_prescan
0,NameError,68,17,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,SyntaxError,64,0,0,TypeError,84,0,unchanged_wrong,12,0,SyntaxError,67,2,unchanged_wrong,mbpp_test_0483,balanced_mid_low_prescan
0,IndentationError,68,14,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,NameError,64,0,0,SyntaxError,84,0,unchanged_wrong,20,0,IndentationError,67,1,unchanged_wrong,mbpp_test_0375,balanced_mid_low_prescan
0,SyntaxError,68,6,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,19,0,SyntaxError,67,0,unchanged_wrong,mbpp_test_0422,balanced_mid_low_prescan
0,NameError,68,2,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,NameError,64,0,0,SyntaxError,84,0,unchanged_wrong,12,0,NameError,67,0,unchanged_wrong,mbpp_test_0051,balanced_mid_low_prescan
0,NameError,68,23,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,SyntaxError,64,0,0,AssertionError,84,0,unchanged_wrong,13,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0141,balanced_mid_low_prescan
0,SyntaxError,68,24,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,mid_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,24,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0471,balanced_mid_low_prescan
0,NameError,68,7,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,SyntaxError,64,0,0,NameError,84,0,unchanged_wrong,13,0,SyntaxError,67,0,unchanged_wrong,mbpp_test_0401,balanced_mid_low_prescan
0,NameError,68,4,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,18,0,NameError,67,1,unchanged_wrong,mbpp_test_0260,balanced_mid_low_prescan
0,NameError,68,38,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,17,0,NameError,67,1,unchanged_wrong,mbpp_test_0108,balanced_mid_low_prescan
0,NameError,68,9,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,NameError,64,0,0,SyntaxError,84,0,unchanged_wrong,11,0,NameError,67,1,unchanged_wrong,mbpp_test_0286,balanced_mid_low_prescan
0,NameError,68,17,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,12,0,NameError,67,2,unchanged_wrong,mbpp_test_0480,balanced_mid_low_prescan
0,NameError,68,20,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,NameError,64,0,0,SyntaxError,84,0,unchanged_wrong,11,0,NameError,67,0,unchanged_wrong,mbpp_test_0004,balanced_mid_low_prescan
0,SyntaxError,68,35,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,AssertionError,64,0,0,SyntaxError,84,0,unchanged_wrong,14,0,AssertionError,67,0,unchanged_wrong,mbpp_test_0288,balanced_mid_low_prescan
0,SyntaxError,68,24,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,19,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0307,balanced_mid_low_prescan
0,SyntaxError,68,18,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,NameError,64,0,0,other,84,0,unchanged_wrong,15,0,NameError,67,2,unchanged_wrong,mbpp_test_0208,balanced_mid_low_prescan
0,NameError,68,7,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,8,0,NameError,67,0,unchanged_wrong,mbpp_test_0252,balanced_mid_low_prescan
1,passed,68,8,unchanged_correct,unchanged_correct,unchanged_correct,mbpp,low_entropy,1,passed,64,0,1,passed,84,0,unchanged_correct,14,1,passed,67,0,unchanged_correct,mbpp_test_0088,balanced_mid_low_prescan
0,NameError,68,9,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,NameError,64,0,0,NameError,84,0,unchanged_wrong,21,0,NameError,67,1,unchanged_wrong,mbpp_test_0329,balanced_mid_low_prescan
0,IndentationError,68,5,unchanged_wrong,unchanged_wrong,unchanged_wrong,mbpp,low_entropy,0,SyntaxError,64,0,0,SyntaxError,84,0,unchanged_wrong,26,0,SyntaxError,67,1,unchanged_wrong,mbpp_test_0020,balanced_mid_low_prescan
